parent_metro_region,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
"The Dalles, OR",2017,215710.0,230966.66666666666,22.916666666666668,23.916666666666668,55.666666666666664,0.973064216352795,0.23341915129034804
"The Dalles, OR",2018,244731.25,254225.0,26.75,26.166666666666668,55.0,0.9852819039346127,0.25359919272819725
"The Dalles, OR",2019,281890.2083333333,293050.0,21.333333333333332,25.5,67.08333333333333,0.9778097369329024,0.25854744792244794
"The Dalles, OR",2020,305787.5,309875.0,26.25,24.25,49.583333333333336,0.9801110562344268,0.2262104868192497
"The Dalles, OR",2021,353166.6666666667,366695.5833333333,22.25,23.25,26.25,1.0057541563195387,0.46774236267959796
"The Villages, FL",2012,170729.20833333334,184750.0,53.666666666666664,72.91666666666667,370.3333333333333,0.9392193972670883,0.03525990500209788
"The Villages, FL",2013,178279.16666666666,185025.0,63.583333333333336,81.33333333333333,355.25,0.9560165736115688,0.0718623815311851
"The Villages, FL",2014,196137.5,216675.0,59.833333333333336,89.75,330.1666666666667,0.9564035682455687,0.08510818093044371
"The Villages, FL",2015,208633.33333333334,222298.125,75.83333333333333,110.25,404.0,0.958867081956751,0.06564942383938517
"The Villages, FL",2016,215292.66666666666,229189.58333333334,95.08333333333333,121.33333333333333,423.6666666666667,0.9600918115781796,0.07149637605082164
"The Villages, FL",2017,225360.625,239341.625,111.25,130.58333333333334,371.75,0.9665559617914513,0.08487137683055636
"The Villages, FL",2018,240979.16666666666,247227.08333333334,119.91666666666667,139.83333333333334,322.75,0.9696469033062446,0.09114774116780251
"The Villages, FL",2019,249954.16666666666,261144.58333333334,124.33333333333333,145.25,322.25,0.9691380828623735,0.0772585613182
"The Villages, FL",2020,268122.9166666667,276721.25,146.25,185.91666666666666,400.1666666666667,0.9713336991489084,0.08147600290529962
"The Villages, FL",2021,302003.75,312501.875,200.08333333333334,186.83333333333334,188.16666666666666,0.9876163215731605,0.23864882405486773
"Thomaston, GA",2012,55693.791666666664,79193.75,13.75,22.5,137.83333333333334,0.8973796892718552,0.09728882228882225
"Thomaston, GA",2013,62769.416666666664,78074.95833333333,11.916666666666666,25.833333333333332,153.16666666666666,0.8922218586197551,0.11144781144781142
"Thomaston, GA",2014,60150.208333333336,83491.66666666667,12.083333333333334,26.083333333333332,162.08333333333334,0.8881571734958073,0.05009345910081203
"Thomaston, GA",2015,67191.66666666667,81600.0,16.5,24.916666666666668,130.41666666666666,0.9114181387569714,0.11108680406281023
"Thomaston, GA",2016,66185.41666666667,86289.16666666667,14.833333333333334,19.833333333333332,126.33333333333333,0.8972259244834896,0.042865260832854045
"Thomaston, GA",2017,80645.16666666667,96558.33333333333,18.416666666666668,23.75,104.58333333333333,0.9143275649120044,0.12032676705445582
"Thomaston, GA",2018,81586.5,104712.5,16.25,20.166666666666668,79.08333333333333,0.9367972094248992,0.14171836075860839
"Thomaston, GA",2019,114541.66666666667,122599.95833333333,19.416666666666668,26.083333333333332,83.58333333333333,0.9452732695684921,0.12297043828777572
"Thomaston, GA",2020,129779.04166666667,137099.75,23.833333333333332,25.916666666666668,55.833333333333336,0.9614728268720301,0.1771828688350181
"Thomaston, GA",2021,161920.54166666666,171428.95833333334,27.5,27.833333333333332,37.583333333333336,0.9823556687490712,0.27037334004028546
"Thomasville, GA",2012,92659.0,248505.0,1.4,1.5,4.2,0.8695794687706404,0.2
"Thomasville, GA",2013,16648.5,222500.0,1.0,2.0,3.5,0.8865143209193552,0.5
"Thomasville, GA",2014,320000.0,,1.0,,2.0,0.6095238095238095,0.0
"Thomasville, GA",2015,223950.0,,2.0,,2.0,1.0006145255854502,0.5
"Thomasville, GA",2016,119859.5,39900.0,1.0,2.0,2.5,0.9711524822695037,0.0
"Thomasville, GA",2017,148062.5,430725.0,1.25,1.5,3.75,0.9615801425132814,0.0
"Thomasville, GA",2018,204975.0,10000.0,1.5,1.0,4.5,0.9546830114939197,0.25
"Thomasville, GA",2019,238607.14285714287,245733.33333333334,1.5714285714285714,2.0,6.0,0.9471927838860418,0.0
"Thomasville, GA",2020,208964.2857142857,454421.4285714286,1.5714285714285714,2.142857142857143,6.285714285714286,0.9565386482124859,0.07142857142857142
"Thomasville, GA",2021,302122.22222222225,423838.8888888889,2.7777777777777777,2.4444444444444446,5.444444444444445,1.0013778945483276,0.31481481481481477
"Tiffin, OH",2012,61812.5,64894.791666666664,21.083333333333332,31.0,166.66666666666666,0.9031750177074956,0.10247808956520386
